AID	TEAM
aid=492946	TEAM_BURNHAM
aid=489031	TEAM_BURNHAM
aid=489013	TEAM_SCRIPPS
aid=588580	TEAM_BURNHAM
aid=493080	TEAM_BROAD
aid=435004	TEAM_BROAD
aid=504507	TEAM_SCRIPPS
aid=2181	TEAM_VANDERBILT
aid=504480	TEAM_VANDERBILT
aid=504425	TEAM_VANDERBILT
aid=504619	TEAM_VANDERBILT
aid=2526	TEAM_BROAD
aid=623942	TEAM_SCRIPPS
aid=488839	TEAM_BROAD
aid=588366	TEAM_HOPKINS
aid=488892	TEAM_BURNHAM
aid=493126	TEAM_BURNHAM
aid=540265	TEAM_BURNHAM
aid=1241	TEAM_SRI
aid=504610	TEAM_NCGC
aid=2163	TEAM_NCGC
aid=2549	TEAM_NCGC
aid=2703	TEAM_NCGC
aid=2385	TEAM_NCGC
aid=493137	TEAM_BURNHAM
aid=624288	TEAM_NCGC
aid=602127	TEAM_BROAD
aid=588602	TEAM_BURNHAM
aid=2370	TEAM_BURNHAM
aid=488822	TEAM_BURNHAM
aid=2344	TEAM_BURNHAM
aid=602136	TEAM_BURNHAM
aid=504835	TEAM_NCGC
aid=588841	TEAM_SCRIPPS
aid=493096	TEAM_BROAD
aid=493104	TEAM_BROAD
aid=493059	TEAM_SCRIPPS
aid=493062	TEAM_SCRIPPS
aid=602164	TEAM_SCRIPPS
aid=463131	TEAM_SCRIPPS
aid=493111	TEAM_SCRIPPS
aid=488833	TEAM_BURNHAM
aid=540278	TEAM_NCGC
aid=463114	TEAM_NCGC
aid=623917	TEAM_SCRIPPS
aid=449728	TEAM_SCRIPPS
aid=435030	TEAM_SCRIPPS
aid=588631	TEAM_UNM
aid=588628	TEAM_UNM
aid=588388	TEAM_UNM
aid=588384	TEAM_UNM
aid=488855	TEAM_UNM
aid=493091	TEAM_BURNHAM
aid=602388	TEAM_NCGC
aid=588673	TEAM_HOPKINS
aid=493006	TEAM_HOPKINS
aid=588590	TEAM_NCGC
aid=624061	TEAM_SRI
aid=504733	TEAM_SRI
aid=588321	TEAM_SRI
aid=504768	TEAM_SRI
aid=488793	TEAM_BURNHAM
aid=602339	TEAM_SCRIPPS
aid=2162	TEAM_NCGC
aid=2291	TEAM_SCRIPPS
aid=435026	TEAM_BROAD
aid=504899	TEAM_SCRIPPS
aid=504907	TEAM_SCRIPPS
aid=588481	TEAM_BURNHAM
aid=624171	TEAM_NCGC
aid=588362	TEAM_SCRIPPS
aid=602382	TEAM_BURNHAM
aid=2284	TEAM_BURNHAM
aid=2823	TEAM_BROAD
aid=493164	TEAM_NCGC
aid=623967	TEAM_BROAD
aid=602188	TEAM_BROAD
aid=588859	TEAM_NCGC
aid=596	TEAM_NCGC
aid=733	TEAM_EMORY
aid=1693	TEAM_UNM
aid=588681	TEAM_SCRIPPS
aid=624066	TEAM_SCRIPPS
aid=1446	TEAM_SCRIPPS
aid=463192	TEAM_BURNHAM
aid=485279	TEAM_BURNHAM
aid=540320	TEAM_SRI
aid=504829	TEAM_SRI
aid=588483	TEAM_SRI
aid=504674	TEAM_SRI
aid=938	TEAM_NCGC
aid=588711	TEAM_SCRIPPS
aid=1036	TEAM_NCGC
aid=434983	TEAM_SCRIPPS
aid=504317	TEAM_SCRIPPS
aid=1858	TEAM_SCRIPPS
aid=833	TEAM_SCRIPPS
aid=1050	TEAM_SCRIPPS
aid=623941	TEAM_VANDERBILT
aid=463106	TEAM_NCGC
aid=1700	TEAM_SCRIPPS
aid=1677	TEAM_BROAD
aid=434940	TEAM_SCRIPPS
aid=588748	TEAM_VANDERBILT
aid=623940	TEAM_VANDERBILT
aid=803	TEAM_SCRIPPS
aid=504437	TEAM_EMORY
aid=2715	TEAM_SCRIPPS
aid=624084	TEAM_SCRIPPS
aid=1556	TEAM_SCRIPPS
aid=489004	TEAM_SCRIPPS
aid=435022	TEAM_SCRIPPS
aid=588442	TEAM_SCRIPPS
aid=588507	TEAM_BROAD
aid=624294	TEAM_BURNHAM
aid=602298	TEAM_SCRIPPS
aid=602195	TEAM_SCRIPPS
aid=602263	TEAM_SCRIPPS
aid=602192	TEAM_SCRIPPS
aid=588586	TEAM_BURNHAM
aid=493073	TEAM_BROAD
aid=504709	TEAM_NCGC
aid=540317	TEAM_NCGC
aid=485355	TEAM_NCGC
aid=485345	TEAM_NCGC
aid=504710	TEAM_BURNHAM
aid=493160	TEAM_BURNHAM
aid=2784	TEAM_BURNHAM
aid=504756	TEAM_BURNHAM
aid=504757	TEAM_BURNHAM
aid=540300	TEAM_NCGC
aid=485311	TEAM_NCGC
aid=2394	TEAM_SCRIPPS
aid=2403	TEAM_SCRIPPS
aid=602446	TEAM_NCGC
aid=602443	TEAM_NCGC
aid=2731	TEAM_NCGC
aid=588722	TEAM_NCGC
aid=2730	TEAM_NCGC
aid=2821	TEAM_BROAD
aid=493127	TEAM_NCGC
aid=540274	TEAM_BURNHAM
aid=2034	TEAM_SCRIPPS
aid=2331	TEAM_SCRIPPS
aid=588437	TEAM_SRI
aid=588565	TEAM_BURNHAM
aid=504622	TEAM_UNM
aid=504582	TEAM_BROAD
aid=602390	TEAM_BROAD
aid=624464	TEAM_NCGC
aid=624421	TEAM_NCGC
aid=624417	TEAM_NCGC
aid=588684	TEAM_BROAD
aid=588674	TEAM_BROAD
aid=588579	TEAM_NCGC
aid=588731	TEAM_VANDERBILT
aid=624157	TEAM_BROAD
aid=504632	TEAM_NCGC
aid=504547	TEAM_NCGC
aid=504639	TEAM_NCGC
aid=624167	TEAM_BURNHAM
aid=588467	TEAM_UNM
aid=624404	TEAM_BROAD
aid=588676	TEAM_HOPKINS
aid=624325	TEAM_BURNHAM
aid=602396	TEAM_SCRIPPS
aid=624371	TEAM_SCRIPPS
aid=624282	TEAM_SCRIPPS
aid=602393	TEAM_BROAD
aid=588491	TEAM_BURNHAM
aid=588473	TEAM_BURNHAM
aid=624203	TEAM_SCRIPPS
aid=588549	TEAM_BROAD
aid=602244	TEAM_BURNHAM
aid=624242	TEAM_BURNHAM
aid=624415	TEAM_NCGC
aid=624309	TEAM_BURNHAM
aid=624356	TEAM_BURNHAM
aid=624359	TEAM_BROAD
aid=624247	TEAM_NCGC
aid=504467	TEAM_NCGC
aid=504466	TEAM_NCGC
aid=588324	TEAM_NCGC
aid=588331	TEAM_NCGC
aid=540360	TEAM_NCGC
aid=588382	TEAM_NCGC
aid=624002	TEAM_NCGC
aid=588780	TEAM_BURNHAM
aid=588492	TEAM_BURNHAM
aid=504836	TEAM_NCGC
aid=623898	TEAM_HOPKINS
aid=504922	TEAM_HOPKINS
aid=540322	TEAM_HOPKINS
aid=588776	TEAM_HOPKINS
aid=623883	TEAM_HOPKINS
aid=623886	TEAM_HOPKINS
aid=623881	TEAM_HOPKINS
aid=488896	TEAM_BROAD
aid=588754	TEAM_BROAD
aid=588826	TEAM_BROAD
aid=493213	TEAM_BROAD
aid=1540	TEAM_NCGC
aid=1211	TEAM_UNM
aid=2307	TEAM_UNM
aid=2373	TEAM_UNM
aid=488801	TEAM_UNM
aid=504468	TEAM_UNM
aid=504865	TEAM_NCGC
aid=2415	TEAM_HOPKINS
aid=2449	TEAM_NCGC
aid=1564	TEAM_SCRIPPS
aid=2488	TEAM_SCRIPPS
aid=2110	TEAM_NCGC
aid=540285	TEAM_SCRIPPS
aid=588645	TEAM_BURNHAM
aid=463112	TEAM_BURNHAM
aid=588593	TEAM_BURNHAM
aid=488876	TEAM_BURNHAM
aid=489024	TEAM_BURNHAM
aid=2592	TEAM_NCGC
aid=520	TEAM_UNM
aid=624015	TEAM_BROAD
aid=540246	TEAM_BROAD
aid=588828	TEAM_BROAD
aid=1326	TEAM_UNM
aid=2486	TEAM_BROAD
aid=2393	TEAM_UNM
aid=485280	TEAM_SCRIPPS
aid=493047	TEAM_HOPKINS
aid=540327	TEAM_NCGC
aid=2607	TEAM_BROAD
aid=2752	TEAM_SCRIPPS
aid=631	TEAM_SCRIPPS
aid=892	TEAM_NCGC
aid=1867	TEAM_UNM
aid=1526	TEAM_SCRIPPS
aid=1988	TEAM_BROAD
aid=2109	TEAM_NCGC
aid=1994	TEAM_BROAD
aid=504514	TEAM_SCRIPPS
aid=504671	TEAM_SCRIPPS
aid=2671	TEAM_NCGC
aid=588845	TEAM_BROAD
aid=624011	TEAM_BROAD
aid=488867	TEAM_BROAD
aid=2587	TEAM_NCGC
aid=2438	TEAM_VANDERBILT
aid=489002	TEAM_UNM
aid=493235	TEAM_BROAD
