ID	USE	DUP	CLASS_TREE
PC00146	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\mRNA processing factor\mRNA polyadenylation factor\
PC00148	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\mRNA processing factor\mRNA splicing factor\
PC00189	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\primase\
PC00200	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\reverse transcriptase\
PC00201	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\ribonucleoprotein\
PC00202	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\ribosomal protein\
PC00032	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\RNA helicase\
PC00033	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\RNA methyltransferase\
PC00222	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\translation factor\translation elongation factor\
PC00224	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\translation factor\translation initiation factor\
PC00225	1	FALSE	\protein class\nucleic acid binding\RNA binding protein\translation factor\translation release factor\
PC00092	1	FALSE	\protein class\oxidoreductase\dehydrogenase\
PC00122	1	FALSE	\protein class\oxidoreductase\hydroxylase\
PC00175	1	FALSE	\protein class\oxidoreductase\oxidase\
PC00177	1	FALSE	\protein class\oxidoreductase\oxygenase\
PC00180	1	FALSE	\protein class\oxidoreductase\peroxidase\
PC00198	1	FALSE	\protein class\oxidoreductase\reductase\
PC00066	1	FALSE	\protein class\phosphatase\carbohydrate phosphatase\
PC00173	1	FALSE	\protein class\phosphatase\nucleotide phosphatase\
PC00195	1	FALSE	\protein class\phosphatase\protein phosphatase\
PC00053	1	FALSE	\protein class\protease\aspartic protease\
PC00081	1	FALSE	\protein class\protease\cysteine protease\
PC00153	1	FALSE	\protein class\protease\metalloprotease\
PC00203	1	FALSE	\protein class\protease\serine protease\
PC00075	1	FALSE	\protein class\receptor\cytokine receptor\chemokine receptor\
PC00124	1	FALSE	\protein class\receptor\cytokine receptor\immunoglobulin receptor superfamily\
PC00035	1	FALSE	\protein class\receptor\cytokine receptor\TGF-beta receptor\
PC00230	1	FALSE	\protein class\receptor\cytokine receptor\tumor necrosis factor receptor\
PC00231	1	FALSE	\protein class\receptor\cytokine receptor\type I cytokine receptor\
PC00232	1	FALSE	\protein class\receptor\cytokine receptor\type II cytokine receptor\
PC00021	1	FALSE	\protein class\receptor\G-protein coupled receptor\
PC00159	1	FALSE	\protein class\receptor\ligand-gated ion channel\acetylcholine receptor\muscarinic acetylcholine receptor\
PC00164	1	FALSE	\protein class\receptor\ligand-gated ion channel\acetylcholine receptor\nicotinic acetylcholine receptor\
PC00023	1	FALSE	\protein class\receptor\ligand-gated ion channel\GABA receptor\
PC00109	1	FALSE	\protein class\receptor\ligand-gated ion channel\glycine receptor\
PC00001	1	FALSE	\protein class\receptor\ligand-gated ion channel\ionotropic glutamate receptor\AMPA receptor\
PC00136	1	FALSE	\protein class\receptor\ligand-gated ion channel\ionotropic glutamate receptor\kainate receptor\
PC00030	1	FALSE	\protein class\receptor\ligand-gated ion channel\ionotropic glutamate receptor\NMDA receptor\
PC00206	1	FALSE	\protein class\receptor\ligand-gated ion channel\serotonin receptor\
PC00205	1	FALSE	\protein class\receptor\protein kinase receptor\serine/threonine protein kinase receptor\
PC00233	1	FALSE	\protein class\receptor\protein kinase receptor\tyrosine protein kinase receptor\
PC00074	1	FALSE	\protein class\signaling molecule\cytokine\chemokine\
PC00127	1	FALSE	\protein class\signaling molecule\cytokine\interferon superfamily\
PC00128	1	FALSE	\protein class\signaling molecule\cytokine\interleukin superfamily\
PC00036	1	FALSE	\protein class\signaling molecule\cytokine\TGF-beta superfamily member\
PC00229	1	FALSE	\protein class\signaling molecule\cytokine\tumor necrosis factor family member\
PC00112	1	FALSE	\protein class\signaling molecule\growth factor\
PC00152	1	FALSE	\protein class\signaling molecule\membrane-bound signaling molecule\
PC00179	1	FALSE	\protein class\signaling molecule\peptide hormone\
PC00210	1	FALSE	\protein class\storage protein\
PC00211	1	FALSE	\protein class\structural protein\
PC00212	1	FALSE	\protein class\surfactant\
PC00055	1	FALSE	\protein class\transcription factor\basic helix-loop-helix transcription factor\
PC00056	1	FALSE	\protein class\transcription factor\basic leucine zipper transcription factor\
PC00119	1	FALSE	\protein class\transcription factor\helix-turn-helix transcription factor\homeobox transcription factor\
PC00178	1	FALSE	\protein class\transcription factor\helix-turn-helix transcription factor\paired box transcription factor\
PC00024	1	FALSE	\protein class\transcription factor\HMG box transcription factor\
PC00169	1	FALSE	\protein class\transcription factor\nuclear hormone receptor\
PC00217	1	FALSE	\protein class\transcription factor\transcription cofactor\
PC00244	1	FALSE	\protein class\transcription factor\zinc finger transcription factor\
PC00052	1	FALSE	\protein class\transfer/carrier protein\apolipoprotein\
PC00107	1	FALSE	\protein class\transfer/carrier protein\globin\
PC00038	1	FALSE	\protein class\transferase\acetyltransferase\
PC00042	1	FALSE	\protein class\transferase\acyltransferase\
PC00111	1	FALSE	\protein class\transferase\glycosyltransferase\
PC00174	1	FALSE	\protein class\transferase\nucleotidyltransferase\
PC00187	1	FALSE	\protein class\transferase\phosphorylase\
PC00215	1	FALSE	\protein class\transferase\transaldolase\
PC00216	1	FALSE	\protein class\transferase\transaminase\
PC00221	1	FALSE	\protein class\transferase\transketolase\
PC00226	1	FALSE	\protein class\transmembrane receptor regulatory/adaptor protein\
PC00046	1	FALSE	\protein class\transporter\amino acid transporter\
PC00003	1	FALSE	\protein class\transporter\ATP-binding cassette (ABC) transporter\
PC00067	1	FALSE	\protein class\transporter\carbohydrate transporter\
PC00068	1	FALSE	\protein class\transporter\cation transporter\
PC00076	1	FALSE	\protein class\transporter\ion channel\anion channel\chloride channel\
PC00239	1	FALSE	\protein class\transporter\ion channel\anion channel\voltage-gated anion channel\
PC00058	1	FALSE	\protein class\transporter\ion channel\calcium channel\
PC00080	1	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\cyclic nucleotide-gated ion channel\
PC00059	1	FALSE	\protein class\transporter\ion channel\potassium channel\calcium-activated potassium channel\
PC00132	1	FALSE	\protein class\transporter\ion channel\potassium channel\inward rectifier potassium channel\
PC00213	1	FALSE	\protein class\transporter\ion channel\potassium channel\tandem pore domain potassium channel\
PC00242	1	FALSE	\protein class\transporter\ion channel\potassium channel\voltage-gated potassium channel\
PC00209	1	FALSE	\protein class\transporter\ion channel\sodium channel\
PC00240	1	FALSE	\protein class\transporter\ion channel\voltage-gated ion channel\voltage-gated calcium channel\
PC00243	1	FALSE	\protein class\transporter\ion channel\voltage-gated ion channel\voltage-gated sodium channel\
PC00158	1	FALSE	\protein class\transporter\mitochondrial carrier protein\
PC00237	1	FALSE	\protein class\viral protein\
PC00000	0	FALSE	\protein class\
PC00050	0	FALSE	\protein class\calcium-binding protein\annexin\
PC00064	0	FALSE	\protein class\calcium-binding protein\calsequestrin\
PC00131	0	FALSE	\protein class\calcium-binding protein\intracellular calcium-sensing protein\
PC00061	0	FALSE	\protein class\calcium-binding protein\intracellular calcium-sensing protein\calmodulin\
PC00062	0	FALSE	\protein class\calcium-binding protein\intracellular calcium-sensing protein\calnexin\
PC00063	0	FALSE	\protein class\calcium-binding protein\intracellular calcium-sensing protein\calreticulin\
PC00106	0	FALSE	\protein class\calcium-binding protein\intracellular calcium-sensing protein\gelosin\
PC00238	0	FALSE	\protein class\calcium-binding protein\vitamin D-dependent calcium binding protein\
PC00069	0	FALSE	\protein class\cell adhesion molecule\
PC00105	0	FALSE	\protein class\cell junction protein\gap junction\
PC00214	0	FALSE	\protein class\cell junction protein\tight junction\
PC00073	0	FALSE	\protein class\chaperone\chaperonin\
PC00025	0	FALSE	\protein class\chaperone\Hsp100 family chaperone\
PC00026	0	FALSE	\protein class\chaperone\Hsp60 family chaperone\
PC00027	0	FALSE	\protein class\chaperone\Hsp70 family chaperone\
PC00028	0	FALSE	\protein class\chaperone\Hsp90 family chaperone\
PC00085	0	FALSE	\protein class\cytoskeletal protein\
PC00039	0	FALSE	\protein class\cytoskeletal protein\actin family cytoskeletal protein\actin and actin related protein\
PC00040	0	FALSE	\protein class\cytoskeletal protein\actin family cytoskeletal protein\actin binding motor protein\
PC00165	0	FALSE	\protein class\cytoskeletal protein\actin family cytoskeletal protein\non-motor actin binding protein\
PC00130	0	FALSE	\protein class\cytoskeletal protein\intermediate filament\intermediate filament binding protein\
PC00156	0	FALSE	\protein class\cytoskeletal protein\microtubule family cytoskeletal protein\microtubule binding motor protein\
PC00166	0	FALSE	\protein class\cytoskeletal protein\microtubule family cytoskeletal protein\non-motor microtubule binding protein\
PC00228	0	FALSE	\protein class\cytoskeletal protein\microtubule family cytoskeletal protein\tubulin\
PC00090	0	FALSE	\protein class\defense/immunity protein\
PC00124	0	FALSE	\protein class\defense/immunity protein\immunoglobulin receptor superfamily\
PC00095	0	FALSE	\protein class\enzyme modulator\
PC00113	0	FALSE	\protein class\enzyme modulator\G-protein modulator\guanyl-nucleotide exchange factor\
PC00117	0	FALSE	\protein class\enzyme modulator\G-protein\heterotrimeric G-protein\
PC00208	0	FALSE	\protein class\enzyme modulator\G-protein\small GTPase\
PC00140	0	FALSE	\protein class\enzyme modulator\kinase modulator\
PC00184	0	FALSE	\protein class\enzyme modulator\phosphatase modulator\
PC00191	0	FALSE	\protein class\enzyme modulator\protease inhibitor\
PC00100	0	FALSE	\protein class\extracellular matrix protein\extracellular matrix glycoprotein\
PC00101	0	FALSE	\protein class\extracellular matrix protein\extracellular matrix linker protein\
PC00103	0	FALSE	\protein class\extracellular matrix protein\extracellular matrix structural protein\
PC00121	0	FALSE	\protein class\hydrolase\
PC00186	0	FALSE	\protein class\hydrolase\lipase\phospholipase\
PC00181	0	FALSE	\protein class\hydrolase\phosphatase\
PC00066	0	FALSE	\protein class\hydrolase\phosphatase\carbohydrate phosphatase\
PC00173	0	FALSE	\protein class\hydrolase\phosphatase\nucleotide phosphatase\
PC00195	0	FALSE	\protein class\hydrolase\phosphatase\protein phosphatase\
PC00190	0	FALSE	\protein class\hydrolase\protease\
PC00053	0	FALSE	\protein class\hydrolase\protease\aspartic protease\
PC00081	0	FALSE	\protein class\hydrolase\protease\cysteine protease\
PC00153	0	FALSE	\protein class\hydrolase\protease\metalloprotease\
PC00203	0	FALSE	\protein class\hydrolase\protease\serine protease\
PC00096	0	FALSE	\protein class\isomerase\epimerase/racemase\
PC00160	0	FALSE	\protein class\isomerase\mutase\
PC00137	0	FALSE	\protein class\kinase\
PC00193	0	FALSE	\protein class\kinase\protein kinase\
PC00205	0	FALSE	\protein class\kinase\protein kinase\serine/threonine protein kinase receptor\
PC00233	0	FALSE	\protein class\kinase\protein kinase\tyrosine protein kinase receptor\
PC00142	0	FALSE	\protein class\ligase\
PC00012	0	FALSE	\protein class\ligase\DNA ligase\
PC00144	0	FALSE	\protein class\lyase\
PC00079	0	FALSE	\protein class\lyase\cyclase\
PC00151	0	FALSE	\protein class\membrane traffic protein\membrane trafficking regulatory protein\
PC00034	0	FALSE	\protein class\membrane traffic protein\SNARE protein\
PC00235	0	FALSE	\protein class\membrane traffic protein\vesicle coat protein\
PC00171	0	FALSE	\protein class\nucleic acid binding\
PC00009	0	FALSE	\protein class\nucleic acid binding\DNA binding protein\
PC00093	0	FALSE	\protein class\nucleic acid binding\DNA binding protein\endodeoxyribonuclease\
PC00098	0	FALSE	\protein class\nucleic acid binding\DNA binding protein\exodeoxyribonuclease\
PC00115	0	FALSE	\protein class\nucleic acid binding\helicase\
PC00011	0	FALSE	\protein class\nucleic acid binding\helicase\DNA helicase\
PC00032	0	FALSE	\protein class\nucleic acid binding\helicase\RNA helicase\
PC00170	0	FALSE	\protein class\nucleic acid binding\nuclease\
PC00031	0	FALSE	\protein class\nucleic acid binding\RNA binding protein\
PC00094	0	FALSE	\protein class\nucleic acid binding\RNA binding protein\endoribonuclease\
PC00099	0	FALSE	\protein class\nucleic acid binding\RNA binding protein\exoribonuclease\
PC00147	0	FALSE	\protein class\nucleic acid binding\RNA binding protein\mRNA processing factor\
PC00223	0	FALSE	\protein class\nucleic acid binding\RNA binding protein\translation factor\
PC00176	0	FALSE	\protein class\oxidoreductase\
PC00181	0	FALSE	\protein class\phosphatase\
PC00190	0	FALSE	\protein class\protease\
PC00197	0	FALSE	\protein class\receptor\
PC00084	0	FALSE	\protein class\receptor\cytokine receptor\
PC00141	0	FALSE	\protein class\receptor\ligand-gated ion channel\
PC00037	0	FALSE	\protein class\receptor\ligand-gated ion channel\acetylcholine receptor\
PC00080	0	FALSE	\protein class\receptor\ligand-gated ion channel\cyclic nucleotide-gated ion channel\
PC00134	0	FALSE	\protein class\receptor\ligand-gated ion channel\ionotropic glutamate receptor\
PC00169	0	FALSE	\protein class\receptor\nuclear hormone receptor\
PC00194	0	FALSE	\protein class\receptor\protein kinase receptor\
PC00207	0	FALSE	\protein class\signaling molecule\
PC00083	0	FALSE	\protein class\signaling molecule\cytokine\
PC00004	0	FALSE	\protein class\signaling molecule\cytokine\chemokine\C chemokine\
PC00005	0	FALSE	\protein class\signaling molecule\cytokine\chemokine\CC chemokine\
PC00007	0	FALSE	\protein class\signaling molecule\cytokine\chemokine\CX3C chemokine\
PC00008	0	FALSE	\protein class\signaling molecule\cytokine\chemokine\CXC chemokine\
PC00163	0	FALSE	\protein class\signaling molecule\growth factor\neurotrophic factor\
PC00162	0	FALSE	\protein class\signaling molecule\peptide hormone\neuropeptide\
PC00161	0	FALSE	\protein class\structural protein\myelin protein\
PC00218	0	FALSE	\protein class\transcription factor\
PC00006	0	FALSE	\protein class\transcription factor\basic leucine zipper transcription factor\CREB transcription factor\
PC00116	0	FALSE	\protein class\transcription factor\helix-turn-helix transcription factor\
PC00029	0	FALSE	\protein class\transcription factor\zinc finger transcription factor\KRAB box transcription factor\
PC00219	0	FALSE	\protein class\transfer/carrier protein\
PC00220	0	FALSE	\protein class\transferase\
PC00137	0	FALSE	\protein class\transferase\kinase\
PC00045	0	FALSE	\protein class\transferase\kinase\amino acid kinase\
PC00065	0	FALSE	\protein class\transferase\kinase\carbohydrate kinase\
PC00172	0	FALSE	\protein class\transferase\kinase\nucleotide kinase\
PC00193	0	FALSE	\protein class\transferase\kinase\protein kinase\
PC00167	0	FALSE	\protein class\transferase\kinase\protein kinase\non-receptor serine/threonine protein kinase\
PC00168	0	FALSE	\protein class\transferase\kinase\protein kinase\non-receptor tyrosine protein kinase\
PC00205	0	FALSE	\protein class\transferase\kinase\protein kinase\serine/threonine protein kinase receptor\
PC00233	0	FALSE	\protein class\transferase\kinase\protein kinase\tyrosine protein kinase receptor\
PC00155	0	FALSE	\protein class\transferase\methyltransferase\
PC00013	0	FALSE	\protein class\transferase\methyltransferase\DNA methyltransferase\
PC00033	0	FALSE	\protein class\transferase\methyltransferase\RNA methyltransferase\
PC00227	0	FALSE	\protein class\transporter\
PC00002	0	FALSE	\protein class\transporter\cation transporter\ATP synthase\
PC00133	0	FALSE	\protein class\transporter\ion channel\
PC00049	0	FALSE	\protein class\transporter\ion channel\anion channel\
PC00240	0	FALSE	\protein class\transporter\ion channel\calcium channel\voltage-gated calcium channel\
PC00141	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\
PC00037	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\acetylcholine receptor\
PC00159	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\acetylcholine receptor\muscarinic acetylcholine receptor\
PC00164	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\acetylcholine receptor\nicotinic acetylcholine receptor\
PC00023	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\GABA receptor\
PC00109	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\glycine receptor\
PC00134	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\ionotropic glutamate receptor\
PC00001	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\ionotropic glutamate receptor\AMPA receptor\
PC00136	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\ionotropic glutamate receptor\kainate receptor\
PC00030	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\ionotropic glutamate receptor\NMDA receptor\
PC00206	0	FALSE	\protein class\transporter\ion channel\ligand-gated ion channel\serotonin receptor\
PC00188	0	FALSE	\protein class\transporter\ion channel\potassium channel\
PC00243	0	FALSE	\protein class\transporter\ion channel\sodium channel\voltage-gated sodium channel\
PC00241	0	FALSE	\protein class\transporter\ion channel\voltage-gated ion channel\
PC00239	0	FALSE	\protein class\transporter\ion channel\voltage-gated ion channel\voltage-gated anion channel\
PC00242	0	FALSE	\protein class\transporter\ion channel\voltage-gated ion channel\voltage-gated potassium channel\
PC00236	0	FALSE	\protein class\viral protein\viral coat protein\
